	15948X1	15948X10	15948X2	15948X3	15948X4	15948X5	15948X6	15948X7	15948X8	15948X9
Gnai3	6.844008241853818	8.009381312793657	7.055153790549512	11.00496300763914	9.532471190138628	7.6502897298895025	9.779755792722602	14.545524057132596	11.117944615151783	11.877371527764565
H19	6.5592769082521905	12.267782415311993	8.139541736577458	14.146682901473067	10.49322419197937	6.477955810045744	8.632076033190229	17.810466231818403	11.476601341907765	63.55640735493439
Narf	23.57877224530028	29.068643020036202	21.391189405931893	28.16538333601575	20.26501435058527	25.894627301362227	39.435919237227914	38.45472656822584	27.263601777882098	35.91834678848437
Cav2	14.630571545080626	24.732379713585168	16.662336492700277	22.9864000472404	13.896898998488597	15.552940617239965	17.729709332129538	32.25840661555192	19.925071211484546	24.884032344585567
Klf6	25.631635918400868	33.81239823686101	36.21728513277809	47.68357734019218	34.27538209044023	38.29532377488976	35.59970310833605	29.273747320405178	26.89951916692038	25.65697670376026
Scmh1	7.991805217221489	8.657105007089415	7.737254774189883	9.845491279727522	8.773961913722404	8.511760973131965	7.578641246408408	7.943119607579299	9.642297914994636	6.570995643465708
Cox5a	61.40031596514619	49.44174811959327	62.0825625392653	93.62317501235432	61.20758852796768	51.73931665592274	81.94916935073714	138.48367658226343	74.03453449894381	82.9781314984077
Tbx2	0.6432649940911415	0.8593537599253299	0.9452851254732814	1.0881704784630533	1.102569888897998	0.4537784820054107	1.0884128964077697	1.988389233719798	1.5200391353994003	1.5913902046976098
Fer	13.897812680949277	16.68905958323046	16.964259194248722	19.17905222932195	17.631063767350923	11.34568311567716	17.367806662540865	18.848221308125243	17.649183092903566	18.854735476040567
Xpo6	5.905584826461823	5.2611682039931695	4.806455901792979	5.4531191629895215	5.389907432035575	4.336889115818855	4.917164729308621	5.659159549329798	7.378939319248776	5.872088832343988
Tfe3	1.3164161936599688	0.9848346186754887	1.1220032518062288	1.6749762748266754	1.4390596915201375	1.3434319439607088	1.3686096529866871	2.2368408491577494	2.2645892782698143	1.400388172386005
Brat1	0.6052098776788996	0.6841280601249793	0.7623108899768963	0.843125342176172	0.6915617396893514	0.2846221718996054	0.8817976996022295	1.7469573607757303	1.2012963155591356	1.069460464495799
Gna12	17.070249330902218	11.647873756062305	18.27615811237789	22.467170097280242	15.53965817228483	12.764379554279246	20.15397705219906	30.91446723042996	26.170713143566278	20.451646862215288
Dlat	58.384229424045195	56.73045430335011	59.70547359048788	80.18535432524821	62.42103104834717	66.60440975781027	66.34697071815164	79.34357869360954	65.70283460433473	76.20294101869739
Sdhd	61.44513208383506	68.34480244046274	81.5433204500469	126.32594847745548	78.48607778038185	63.4902817613338	116.03936426062974	168.38717030235955	109.15866551005809	120.53714271811953
Ccnd2	27.951845615279804	16.699032439771024	25.024370352438257	25.336706189394654	18.421161743028556	18.23890801978493	20.45338369652611	25.661104501832906	32.12959309525411	24.54788526971386
Gpr107	3.0963551052388394	3.9466992310503106	3.5522933529971645	4.893758313047584	3.476072963498872	3.5318623324741303	4.092707324311565	6.706690174940014	5.642849162559122	5.543532800599312
Nalcn	0.23393096527605398	0.639452162705978	0.24063492452724786	0.5214273789460371	0.1871159045747515	0.46206143660534094	0.4617833429718446	0.46895252053752584	1.4858734705868846	0.9549011569468177
Gmpr	22.776466347743554	20.480148929943926	24.947749650069845	34.08055949137867	17.712296784815813	14.579500544634598	33.790206998530536	37.91505155649118	31.535078241026806	30.91275472625107
Mid2	6.854449598972772	7.10939382050464	6.676085619851086	7.390002491360204	7.827388598210945	5.378841636566448	5.838867822928769	7.016678630411733	9.123114427278962	9.530323574775752
Trim25	4.589851083062481	6.174575610602057	6.087872952086512	5.577605599731782	4.132215418236838	4.366149941618787	5.197003915867928	5.566940604521872	5.107407632859322	4.829541883290268
Dgke	6.467021114670208	6.633427628867266	4.7516800400872095	4.875395968214712	4.949301982008241	4.369599919631112	4.321001951536927	4.395071809998527	4.490152264731751	4.468837990057461
Scpep1	4.608071884233251	7.315398222490436	5.3705898831133405	7.63706484581854	7.520060605553806	4.053999685924352	5.907435534206628	10.542119111798895	11.459630856279382	9.43450788021015
Itgb2	1.0097311119370038	1.9369179384548538	1.7311130631142009	2.5528434883533966	1.2713171173110809	1.662020985607696	2.6207215350598076	3.623513493706678	3.1548233126023506	2.775555979910309
Tpd52l1	2.802235425329758	2.015771822417179	1.1230681077870635	2.8391481596740644	1.8678687813704358	2.30624471626756	2.4305761491008875	5.268972145343353	4.045256444006037	5.041835633231571
Cdh4	1.356213672576627	1.1631968443014142	0.919832864737307	0.9689015322619695	0.9387723271315296	1.116166253640735	1.1498173914592307	2.6971726542380656	3.3994909056880727	0.9678382819740473
Bcl6b	5.741608283563355	6.9073911775779715	6.255282496967282	10.618970812898583	6.004663893182095	2.7700349760128264	6.611513731778885	14.82060068492314	8.449249979080346	8.020540441946702
Arvcf	1.2057453252376737	0.8163255679311645	1.0422684014371215	1.7950148619139825	0.6145988768610026	0.9923305373839053	1.6801128830883663	3.847969853035997	2.5106335624969347	2.5881261939106186
Comt	26.784929951129723	30.658483066531048	31.31531770317882	44.628667526605625	27.73525022566573	25.094164173495372	40.79157790568034	65.69121860672558	77.07409923718124	46.363922659864265
Rtca	2.2994503992040927	3.9096822252060806	2.7646921298346534	4.999234063466236	3.622817469878281	3.7849034992195336	4.745475676213674	8.081802830636581	6.984665651201765	4.912943034703223
Dbt	31.998779648509533	24.25254792220092	34.784831710501344	36.98418371404562	34.51701753668827	33.47957753346978	30.95204627665944	18.420787300648158	14.559736992195008	20.602260041730492
